                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9673,                 3.5658,                 1.5558,                0.00578,                0.88542,                0.37301,                0.13169,                 1.9077,                 7.4159,                0.96482,                 0.0002,                 0.0002,                 0.0002
                      1,                 1.9172,                 2.7614,                 1.3566,                0.00626,                0.95833,                 0.4825,                 0.1526,                 1.7826,                 6.9334,                0.86769,             0.00039921,             0.00039921,             0.00039921
                      2,                 1.8133,                 2.5261,                 1.3138,                0.54504,                 0.5625,                0.51522,                0.17304,                  1.773,                  7.079,                0.92522,             0.00057664,             0.00057664,             0.00057664
                      3,                 1.7177,                 2.4057,                 1.2603,                0.90091,                0.28417,                0.46825,                0.17466,                 1.9381,                  7.283,                0.99512,             0.00073229,             0.00073229,             0.00073229
                      4,                 1.7185,                 2.3654,                 1.2713,                0.63295,                0.21875,                0.25921,                0.08126,                 2.0334,                 7.4352,                 1.1179,             0.00086616,             0.00086616,             0.00086616
                      5,                 1.7475,                 2.3638,                 1.2587,                0.53241,                0.39583,                0.34031,                0.11677,                 1.8097,                 7.0079,                  1.083,             0.00097825,             0.00097825,             0.00097825
                      6,                 1.7478,                 2.2085,                 1.2611,                0.71647,                0.52083,                0.57044,                0.22908,                  1.775,                 5.7017,                0.96837,              0.0010686,              0.0010686,              0.0010686
                      7,                 1.7057,                  2.279,                  1.268,                 0.8005,                0.51042,                0.62202,                0.25284,                 1.7965,                 5.3522,                0.88071,              0.0011371,              0.0011371,              0.0011371
                      8,                 1.6995,                 2.1536,                 1.2356,                0.83389,                0.53125,                0.64972,                0.25863,                 1.7461,                 4.8719,                0.88085,              0.0011838,              0.0011838,              0.0011838
                      9,                 1.6619,                 2.1052,                 1.2412,                0.74044,                0.69792,                0.71691,                 0.3064,                 1.7279,                 4.2792,                0.88012,               0.001109,               0.001109,               0.001109
                     10,                 1.6313,                  2.179,                 1.2269,                 0.7856,                0.57252,                0.66469,                0.25975,                 1.7457,                  4.531,                0.91128,               0.001109,               0.001109,               0.001109
                     11,                 1.6198,                 2.1754,                 1.2182,                0.68243,                0.69396,                0.76865,                0.28618,                 1.7555,                 4.6777,                0.86286,                0.00101,                0.00101,                0.00101
                     12,                 1.5883,                 2.0638,                 1.1876,                0.83632,                0.61458,                0.76886,                0.31911,                 1.6351,                 4.7971,                0.85248,               0.000911,               0.000911,               0.000911
                     13,                 1.5916,                 2.0457,                 1.1983,                0.81646,                  0.625,                0.79072,                0.33701,                 1.7493,                 5.0725,                0.87025,               0.000812,               0.000812,               0.000812
                     14,                 1.6202,                 2.0665,                 1.2134,                 0.6988,                0.72917,                0.79757,                0.33879,                 1.6701,                 4.5188,                0.85262,               0.000713,               0.000713,               0.000713
                     15,                 1.5178,                 2.0091,                 1.1836,                0.77126,                0.79167,                0.83241,                0.31798,                 1.6686,                 4.1359,                0.82695,               0.000614,               0.000614,               0.000614
                     16,                 1.5542,                 1.9971,                 1.1491,                0.69643,                0.71692,                0.78054,                0.30503,                 1.6677,                 4.1514,                0.83903,               0.000515,               0.000515,               0.000515
                     17,                 1.5177,                 1.9511,                 1.1545,                0.78235,                0.80208,                0.82987,                0.35732,                 1.5715,                 4.0063,                0.82497,               0.000416,               0.000416,               0.000416
                     18,                  1.449,                 1.9174,                 1.1297,                0.77914,                0.83333,                0.86651,                0.38696,                 1.5672,                 3.8842,                0.81412,               0.000317,               0.000317,               0.000317
                     19,                 1.4706,                 1.9385,                 1.1338,                0.80664,                0.86912,                0.89033,                0.39078,                 1.6005,                  3.721,                0.80608,               0.000218,               0.000218,               0.000218
